"APC paid (actual currency) including VAT if charged","APC paid (£) including VAT (calculated)","APC paid (£) including VAT if charged","Currency of APC",DOI,"Date of APC payment","Date of initial application by author",ISSN0,Institution,Journal,Licence,"PubMed Central (PMC) ID","PubMed ID",Publisher,"TCO year","Type of publication",Drop?,"Year of publication","Article title"
"","",3780,"","","",2014-04-29,"","University of Leicester","Nature Communications ","","","","NATURE PUBLISHING GROUP",2014,"",0,"","Clinopyroxene precursors to amphibole sponge in arc crust "
"","",3556.8,"","","",2014-05-09,"","University of Leicester","Current Biology","","","",ELSEVIER,2014,"",0,"","Phenotypic Transformation Affects Associative Learning in the Desert Locust"
"","",552.37,"","","",2014-05-14,"","University of Leicester","Plant Cell","","","","AMERICAN SOCIETY OF PLANT BIOLOGISTS",2014,"",0,"","An EAR-Dependent Regulatory Module Promotes Male Germ Cell Division and Sperm Fertility in Arabidopsis"
"","",1296,"","","",2014-05-14,"","University of Leicester","Proceedings of the National Academy of Sciences ","","","","NATIONAL ACADEMY OF SCIENCES",2014,"",0,"","Differential activation of serotonergic neurons during short- and long-term gregarization of Desert Locusts "
"","",1500,"","","",2014-05-15,"","University of Leicester",Respirology,"","","",WILEY-BLACKWELL,2014,"",0,"","[Ca2+]i oscillations in ASM - relationship with persistent airflow obstruction in asthma"
"","",2850,"","","",2014-05-20,"","University of Leicester","Journal of Experimental Psychology","","","","AMERICAN PSYCHOLOGICAL ASSOCIATION",2014,"",0,"","Time to decide? Simplicity and congruity in comparative judgment"
"","",1500,"","","",2014-05-27,"","University of Leicester",Allergy,"","","",WILEY-BLACKWELL,2014,"",0,"","CCL2 release by airway smooth muscle is increased in asthma and promotes fibrocyte migration"
"","",715.2,"","","",2014-06-05,"","University of Leicester","Proceedings of the National Academy of Sciences ","","","","NATIONAL ACADEMY OF SCIENCES",2014,"",0,"","Histone Deacetylase (HDAC) 1 and 2 are essential for accurate cell division and the pluripotency of embryonic stem cells."
"","",1285.2,"","","",2014-06-09,"","University of Leicester",Geoforum,"","","",ELSEVIER,2014,"",0,"","Assembling an Indian Diaspora in South Africa: The Consulate General of India, diaspora associations and the spatialities of collaboration"
"","",1500,"","","",2014-06-12,"","University of Leicester","Human Mutation","","","",WILEY-BLACKWELL,2014,"",0,"","Towards male individualization with rapidly mutating Y-chromosomal STRs"
"","",2114.4,"","","",2014-06-19,"","University of Leicester","Solar Physics","","","",SPRINGER,2014,"",0,"","Assessing the Effect of Spacecraft Motion on Single-spacecraft Tracking of Solar Wind Transients Associated with Corotating Interaction Regions"
"","",1538.4,"","","",2014-06-24,"","University of Leicester","Infection, Genetics and Evolution","","","",ELSEVIER,2014,"",0,"","Sex and rhythms in sandflies and mosquitos; an appreciation of the work of Alexandre Afranio Peixoto (1963-2013)."
"","",1767,"","","",2014-06-24,"","University of Leicester",Bioethics,"","","",WILEY-BLACKWELL,2014,"",1,"","Respecting autonomy over time: policy and empirical evidence on re-consent in longitudinal biomedical research"
"","",1411.5,"","","",2014-06-26,"","University of Leicester",Trials,"","","","BIOMED CENTRAL",2014,"",0,"","The REFLO-STEMI Trial comparing intracoronary Adenosine Sodium Nitroprusside and standard therapy for the attenu ation of infarct size and microvascular obstruction duri ng primary percutaneous coronary intervention: study pro tocol for a randomized controll"
"","",1875,"","","",2014-07-04,"","University of Leicester","Journal of Geophysical Research","","","","AMERICAN GEOPHYSICAL UNION",2014,"",0,"","Cassini Multi-Instrument Assessment of Saturn’s Polar Cap Boundary"
"","",1283.99,"","","",2014-07-08,"","University of Leicester","Journal of Visualized Experiments","","","",JOVE,2014,"",0,"","Subcloning plus insertion (SPI) - a novel recombineering method for the rapid construction of gene targeting vectors."
"","",972.53,"","","",2014-07-09,"","University of Leicester","PLOS ONE","","","","PUBLIC LIBRARY OF SCIENCE",2014,"",0,"","Statistical cluster analysis of the British Thoracic Society severe refractory asthma registry: clinical outcomes and phenotype stability"
"","",1500,"","","",2014-07-09,"","University of Leicester","Journal of Cellular Physiology","","","",WILEY-BLACKWELL,2014,"",0,"","Beta-Adrenoceptor Activation Reduces Both Dermal Microvascular Endothelial Cell Migration Via a cAMP-Dependent Mechanism and Wound Angiogenesis"
"","",1171,"","","",2014-07-14,"","University of Leicester","Journal of Biological Chemistry","","","","AMERICAN SOCIETY FOR BIOCHEMISTRY AND MOLECULAR BIOLOGY",2014,"",0,"","Oleoyl-Coenzyme A Regulates Interaction of Transcriptional Regulator RaaS (Rv1219c) with DNA in Mycobacteria"
"","",1747,"","","",2014-07-14,"","University of Leicester","Journal of Allergy and Clinical Immunology","","","",ELSEVIER,2014,"",0,"","Biological clustering supports both ""Dutch"" and ""British"" hypotheses of Asthma and Chronic Obstructive Pulmonary Disease"
"","",1194,"","","",2014-07-15,"","University of Leicester","Journal of Health Organization and Management","","","",EMERALD,2014,"",0,"","Running a hospital patient safety campaign: a qualitative study"
"","",1578,"","","",2014-07-18,"","University of Leicester","PLOS Genetics","","","","PUBLIC LIBRARY OF SCIENCE",2014,"",0,"","Role for circadian clock genes in seasonal timing: testing the Bünning hypothesis"
"","",2653.12,"","","",2014-07-22,"","University of Leicester",Chest,"","","","AMERICAN COLLEGE OF CHEST PHYSICIANS",2014,"",0,"","Association between pathogens detected using quantitative polymerase chain reaction with airway inflammation in COPD at stable state and exacerbations"
"","",1750,"","","",2014-07-25,"","University of Leicester","International Journal for Quality in Health Care","","","","OXFORD UNIVERSITY PRESS",2014,"",1,"","Why is patient safety so hard in low-income countries? A qualitative study of healthcare workers’ views in two African hospitals"
"","",960,"","","",2014-07-25,"","University of Leicester","Qualitative Research","","","","SAGE Publications",2014,"",0,"","A qualitative method for analysing multivoicedness"
"","",2684.03,"","","",2014-08-05,"","University of Leicester","Journal of Geophysical Research","","","","AMERICAN GEOPHYSICAL UNION",2014,"",1,"","Multiple scattering in observations of the GPM dual-frequency precipitation radar: evidence and impact on retrievals"
"","",3780,"","","",2014-08-05,"","University of Leicester","Nature Communications","","","","NATURE PUBLISHING GROUP",2014,"",0,"","A random six-phase switch regulates pneumococcal virulence via global epigenetic changes"
"","",1691.92,"","","",2014-08-08,"","University of Leicester",MBio,"","","","AMERICAN SOCIETY OF MICROBIOLOGY",2014,"",1,"","Abundant and Diverse Clustered Regularly Interspaced Short Palindromic Repeat Spacers in Clostridium difficile Strains and Prophages Target Multiple Phage Types within This Pathogen"
"","",1875,"","","",2014-08-11,"","University of Leicester","Journal of Geophysical Research","","","","AMERICAN GEOPHYSICAL UNION",2014,"",0,"","A superposed epoch analysis of the Region 1 and Region 2 Birkeland currents observed by AMPERE during substorms"
"","",1875,"","","",2014-08-13,"","University of Leicester","Journal of Geophysical Research","","","","AMERICAN GEOPHYSICAL UNION",2014,"",0,"","Field-aligned currents in Saturn’s southern nightside magnetosphere: Sub corotation and planetary period oscillation components"
"","",1590,"","","",2014-08-13,"","University of Leicester","BMC Genomics","","","","BIOMED CENTRAL",2014,"",0,"","Genome-Wide Association of Blood Pressure and Lung Function with Copy Number…"
"","",1590,"","","",2014-08-18,"","University of Leicester","BMC Genomics","","","","BIOMED CENTRAL",2014,"",0,"","Novel mobile genetic content within an environmental reservoir of the human pathogen Clostridium difficile revealed by whole genome sequencing."
"","",1354.16,"","","",2014-08-19,"","University of Leicester","PLOS Genetics","","","","PUBLIC LIBRARY OF SCIENCE",2014,"",0,"","Muscular Dystrophy-Associated SUN1 and SUN2 Variants Disrupt Nuclear-Cytoskeletal Connections and Myonuclear Organization"
"","",904,"","","",2014-08-26,"","University of Leicester",Nucleus,"","","","LANDES BIOSCIENCE",2014,"",0,"","Mitotic phosphorylation of SUN1 loosens its connection with the nuclear lamina whilst the LINC complex remains intact"
"","",1819,"","","",2014-09-03,"","University of Leicester","Journal of Allergy and Clinical Immunology","","","",ELSEVIER,2014,"",0,"","DP2 (CRTh2) protein expression in asthma and its effects on bronchial epithelial cells."
"","",800,"","","",2014-09-08,"","University of Leicester","Crime, Media, Culture","","","","SAGE Publications",2014,"",0,"","The Dark Value of Criminal Bodies"
"","",1875,"","","",2014-09-08,"","University of Leicester","Journal of Geophysical Research","","","",WILEY-BLACKWELL,2014,"",0,"","Survey of Saturn auroral storms observed by the Hubble Space Telescope: Implications for storm time scales"
"","",1411.5,"","","",2014-09-10,"","University of Leicester","BMC Neuroscience","","","","BIOMED CENTRAL",2014,"",1,"","Evaluating the translational potential of progesterone treatment following transient cerebral ischaemia in male mice"
"","",1351.5,"","","",2014-09-11,"","University of Leicester","BMC Evolutionary Biology","","","","BIOMED CENTRAL",2014,"",1,"","Decay of velvet worms (Onychophora), and bias in the fossil record of lobopodians"
"","",1170,"","","",2014-09-15,"","University of Leicester","Journal of Medical Ethics","","","","BMJ GROUP",2014,"",1,"","The social licence for research: why care.data ran into trouble"
"","",3794.47,"","","",2014-09-17,"","University of Leicester","Current Biology","","","","CELL PRESS",2014,"",1,"","Firing Dynamics and Modulatory Actions of Supraspinal Dopaminergic Neurons During Zebrafish Locomotor Behaviour"
"","",2100,"","","",2014-09-18,"","University of Leicester","Journal of Medical Microbiology","","","","SOCIETY FOR GENERAL MICROBIOLOGY",2014,"",0,"","Monoclonal antibodies against all known variants of EspA: development of a simple diagnostic test for enteropathogenic Escherichia coli based on a key virulence factor"
"","",1389.6,"","","",2014-09-25,"","University of Leicester","Atmospheric Chemistry and Physics","","","",COPERNICUS,2014,"",1,"","Mapping gas phase organic reactivity and concomitant secondary organic aerosol formation: chemometric dimension reduction techniques for the deconvolution of complex atmospheric datasets"
"","",1173.6,"","","",2014-09-25,"","University of Leicester","Atmospheric Measurement Techniques","","","",COPERNICUS,2014,"",1,"","Development and characterisation of a state-of-the-art GOME-2 formaldehyde air-mass factor algorithm"
"","",3810.35,"","","",2014-09-26,"","University of Leicester","Cell Reports","","","",ELSEVIER,2014,"",1,"","A targeted oligonucleotide enhancer of SMN2 exon 7 splicing forms competing quadruplex and protein complexes in functional conditions"
"","",832,"","","",2014-10-01,"","University of Leicester","PLOS ONE","","","","PUBLIC LIBRARY OF SCIENCE",2014,"",0,"","Systematic mutagenesis of genes encoding predicted autotransported proteins of Burkholderia pseudomallei identifies factors mediating virulence in mice"
"","",2886.55,"","","",2014-10-08,"","University of Leicester",Neuron,"","","",ELSEVIER,2014,"",1,"","Single Cell responses to face adaptation in the human medial temporal lobe"
"","",3780,"","","",2014-10-08,"","University of Leicester","Nature Communications","","","","NATURE PUBLISHING GROUP",2014,"",1,"","Identification of the remains of King Richard III"
"","",2198.04,"","","",2014-10-09,"","University of Leicester","Current Opinion in Neurobiology","","","",ELSEVIER,2014,"",1,"","Single trial analysis of field potentials in perception, learning and memory"
"","",988.38,"","","",2014-10-10,"","University of Leicester","Physica Medica: European Journal of Medical Physics","","","",ELSEVIER,2014,"",1,"","A scheme for assessing the performance characteristics of small field-of-view gamma cameras"
"","",3372,"","","",2014-10-13,"","University of Leicester",Circulation,"","","","AMERICAN HEART ASSOCIATION",2014,"",0,"","Elevated prothrombotic potential in young MI patients and their offspring and relationship to the haemostatic proteome"
"","",561.14,"","","",2014-10-13,"","University of Leicester","Frontiers in Psychology","","","",FRONTIERS,2014,"",1,"","Perceptual and contextual awareness: Methodological considerations in the search for the neural correlates of consciousness"
"","",1779.88,"","","",2014-10-16,"","University of Leicester","Ultrasound in Medicine and Biology","","","",ELSEVIER,2014,"",1,"","An In Vitro Comparison of Embolus Differentiation Techniques for Clinically Significant Macroemboli: Dual-Frequency Technique versus Frequency Modulation Method"
"","",1590,"","","",2014-10-20,"","University of Leicester","Globalization and Health","","","","BIOMED CENTRAL",2014,"",1,"","Why is patient safety so hard in low-income countries? A qualitative study of healthcare workers’ views in two African hospitals"
"","",2340,"","","",2014-10-21,"","University of Leicester",Heart,"","","","BMJ GROUP",2014,"",1,"","MicroRNAs in Cardiovascular Disease – An Introduction for Clinicians"
"","",1010.4,"","","",2014-10-22,"","University of Leicester","PLOS ONE","","","","PUBLIC LIBRARY OF SCIENCE",2014,"",1,"","Size distribution of air bubbles entering the brain during cardiac surgery"
"","",1351.5,"","","",2014-10-23,"","University of Leicester","Critical Care","","","","BIOMED CENTRAL",2014,"",1,"","Predictive models for Kidney Disease: Improving Global Outcomes (KDIGO) Defined Acute Kidney Injury (AKI)."
"","",1559.69,"","","",2014-10-23,"","University of Leicester","Frontiers in Microbiology","","","",FRONTIERS,2014,"",0,"","Bacterial pathogen’s biology is modulated by temperature dependent bacteriophages"
