"Year","Institution - Abbrv","Instsitution","ArticleTitle","JournalTitle","ISSN","NSD Level","DOI","APC in NOK"
2016,"NTNU HIST","Norwegian University of Science and Technology","The significance of communities of practice: Norwegian nursing students' experience of clinical placement in Bangladesh.","Nursing Open 2015 ;Volum 2.(1) s. 36-46, Wiley subscr.serv","2054-1058",1,"10.1002/nop2.15",11088.00
2016,"OUS","Oslo University Hospital","Effect of Previous Chemotherapy on the Quality of Cryopreserved Human Ovarian Tissue In Vitro","PLoS One","1932-6203",1,,11298.00
2016,"OUS","Oslo University Hospital","Perinatal Asphyxia May Influence the Level of Beta-Amyloid (1-42) in Cerebrospinal Fluid: An Experimental Study on Newborn Pigs","PLoS One","1932-6203",1,,10926.00
2016,"OUS","Oslo University Hospital","Prognostic factors and treatment results of high-grade osteosarcoma in norway: a scope beyond the ""classical"" patient","Sarcoma","1369-1643",1,,6388.00
2016,"OUS","Oslo University Hospital","Clinical Epidemiology of Low-Grade and Dedifferentiated Osteosarcoma in Norway during 1975 and 2009","Sarcoma","1369-1643",1,,6891.00
2016,"OUS","Oslo University Hospital","Exome sequencing of bilateral testicular germ cell tumors suggests independent development lineages","Neoplasia","1476-5586",1,,14665.00
2016,"OUS","Oslo University Hospital","The chemical chaperone sodium 4-phenylbutyrate improves the secretion of the protein CA267T mutant in CHO-K1 cells trough the GRASP55 pathway","Cell Biosci","2045-3701",1,,15976.00
2016,"OUS","Oslo University Hospital","Geldanamycin Enhances Retrograde Transport of Shiga Toxin in HEp-2 Cells","PLoS One","1932-6203",1,,10074.00
2016,"OUS","Oslo University Hospital","The MYCN-HMGA2-CDKN2A pathway in non-small cell lung carcinoma-differences in histological subtypes","BMC Cancer","1471-2407",1,,14641.00
2016,"OUS","Oslo University Hospital","MRI with intrathecal MRI gadolinium contrast medium administration: a possible method to assess glymphatic function in human brain","Acta Radiol Open","2058-4601",1,,7608.00
2016,"OUS","Oslo University Hospital","No effects of a 12-week supervised exercise therapy program on gait in patients with mild to moderate osteoarthritis: a secondary analysis of a randomized trial","J Negat Results Biomed","1477-5751",1,,9368.00
2016,"OUS","Oslo University Hospital","Automated amplicon design suitable for analysis of DNA variants by melting techniques","BMC Res Notes","1756-0500",1,,8271.00
2016,"OUS","Oslo University Hospital","Hypoxia biomarkers in squamous cell carcinoma of the uterine cervix","BMC Cancer","1471-2407",1,,16379.00
2016,"OUS","Oslo University Hospital","Cured of primary bone cancer, but at what cost: a qualitative study of functional impairment and lost opportunities","Sarcoma","1369-1643",1,,6664.00
2016,"OUS","Oslo University Hospital","Cellular localization of CIP2A determines its prognostic impact in superficial spreading and nodular melanoma","Cancer Med","2045-7634",1,,15387.00
2016,"OUS","Oslo University Hospital","The DnaA Protein Is Not the Limiting Factor for Initiation of Replication in Escherichia coli","PLoS Genetics","1553-7404",2,,17044.00
2016,"OUS","Oslo University Hospital","Cancer patients' participation in population-based health surveys: findings from the HUNT studies","BMC Res Notes","1756-0500",1,,9281.00
2016,"OUS","Oslo University Hospital","Alcohol consumption, endogenous estrogen and mammographic density among premenopausal women","Breast Cancer Res","1465-542X",1,,19536.00
2016,"OUS","Oslo University Hospital","The Inner Membrane Protein PilG Interacts with DNA and the Secretin PilQ in Transformation","PLoS One","1932-6203",1,,11002.00
2016,"OUS","Oslo University Hospital","Early effects of low dose bevacizumab treatment assessed by magnetic resonance imaging","BMC Cancer","1471-2407",1,,14767.00
2016,"OUS","Oslo University Hospital","Sick-leave and help seeking among rescue workers after the terror attacks in Norway, 2011","Int J Emerg Med","1865-1380",1,,9698.00
2016,"OUS","Oslo University Hospital","Identification of Metastasis-Associated Metabolic Profiles of Tumors by (1)H-HR-MAS-MRS","Neoplasia","1476-5586",1,,18293.00
2016,"OUS","Oslo University Hospital","Effect of Systematic Follow-Up by General Practitioners after Deliberate Self-Poisoning: A Randomised Controlled Trial","PLoS One","1932-6203",1,,17166.00
2016,"OUS","Oslo University Hospital","Structured follow-up by general practitioners after deliberate self-poisoning: a randomised controlled trial","BMC Psychiatry","1471-244X",1,,11680.00
2016,"OUS","Oslo University Hospital","Measurements of carotid intima media thickness in non-invasive high-frequency ultrasound images: the effect of dynamic range setting","Cardiovasc Ultrasound","1476-7120",1,,16158.00
2016,"OUS","Oslo University Hospital","""Time's up"" - staff's management of mealtimes on inpatient eating disorder units","J Eat Disord","1098-108X",2,,12482.00
2016,"OUS","Oslo University Hospital","Markers of thrombin generation are associated with myocardial necrosis and left ventricular impairment in patients with ST-elevation myocardial infarction","Thromb J","1477-9560",1,,12806.00
2016,"OUS","Oslo University Hospital","Dynamic Escherichia coli SeqA complexes organize the newly replicated DNA at a considerable distance from the replisome","Nucleic Acids Res","1362-4962",2,,25303.00
2016,"OUS","Oslo University Hospital","Ten modifiers of BRCA1 penetrance validated in a Norwegian series","Hered Cancer Clin Pract","1897-4287",1,,14630.00
2016,"OUS","Oslo University Hospital","The Influence of the Autoimmunity-Associated Ancestral HLA Haplotype AH8.1 on the Human Gut Microbiota: A Cross-Sectional Study","PLoS One","1932-6203",1,,11122.00
2016,"OUS","Oslo University Hospital","Simultaneous measurement of passage through the restriction point and MCM loading in single cells","Nucleic Acids Res","1362-4962",2,,18979.00
2016,"OUS","Oslo University Hospital","Pseudoperipheral palsy: a case of subcortical infarction imitating peripheral neuropathy","BMC Neurol","1471-2377",1,,14808.00
2016,"OUS","Oslo University Hospital","Aortic Stiffness and Cardiovascular Risk in Women with Previous Gestational Diabetes Mellitus","PLoS One","1932-6203",1,,11638.00
2016,"OUS","Oslo University Hospital","Favorable outcomes in locally advanced and node positive prostate cancer patients treated with combined pelvic IMRT and androgen deprivation therapy","Radiat Oncol","1748-717X",1,,14999.00
2016,"OUS","Oslo University Hospital","Translocational renal cell carcinoma (t(6;11)(p21;q12) with transcription factor EB (TFEB) amplification and an integrated precision approach: a case report","J Med Case Rep","1752-1947",1,,9016.00
2016,"OUS","Oslo University Hospital","Slug-dependent upregulation of L1CAM is responsible for the increased invasion potential of pancreatic cancer cells following long-term 5-FU treatment","PLoS One","1932-6203",1,,10487.00
2016,"OUS","Oslo University Hospital","Knockdown of NAT12/NAA30 reduces tumorigenic features of glioblastoma-initiating cells","Mol Cancer","1476-4598",1,,15021.00
2016,"OUS","Oslo University Hospital","Personality Disorder and Changes in Affect Consciousness: A 3-Year Follow-Up Study of Patients with Avoidant and Borderline Personality Disorder","PLoS One","1932-6203",1,,11637.00
2016,"OUS","Oslo University Hospital","Tension gastrothorax: acute life-threatening manifestation of late onset congenital diaphragmatic hernia (CDH) in children","Scand J Trauma Resusc Emerg Med","1757-7241",1,,14097.00
2016,"OUS","Oslo University Hospital","The Sub-Cellular Localization of WRAP53 Has Prognostic Impact in Breast Cancer","PLoS One","1932-6203",1,,11354.00
2016,"OUS","Oslo University Hospital","Intertumor heterogeneity in vascularity and invasiveness of artificial melanoma brain metastases","J Exp Clin Cancer Res","1756-9966",1,,14837.00
2016,"OUS","Oslo University Hospital","The impact of environmental factors in pre-hospital thermistor-based tympanic temperature measurement: a pilot field study","Scand J Trauma Resusc Emerg Med","1757-7241",1,,17541.00
2016,"OUS","Oslo University Hospital","Parent ratings of executive function in young preschool children with symptoms of attention-deficit/-hyperactivity disorder","Behav Brain Funct","1744-9081",1,,19533.00
2016,"OUS","Oslo University Hospital","Exposure and posttraumatic stress symptoms among first responders working in proximity to the terror sites in Norway on July 22, 2011 - a cross-sectional study","Scand J Trauma Resusc Emerg Med","1757-7241",1,,13147.00
2016,"OUS","Oslo University Hospital","Cell-penetrating peptides: possibilities and challenges for drug delivery in vitro and in vivo","Molecules","1420-3049",1,,15394.00
2016,"OUS","Oslo University Hospital","Effects of early pregnancy BMI, mid-gestational weight gain, glucose and lipid levels in pregnancy on offspring's birth weight and subcutaneous fat: a population-based cohort study","BMC Pregnancy Childbirth","1471-2393",1,,13648.00
2016,"OUS","Oslo University Hospital","Neuropsychological assessment in adolescents with anorexia nervosa - exploring the relationship between self-report and performance-based testing","J Eat Disord","1098-108X",2,,13275.00
2016,"OUS","Oslo University Hospital","Early weaning in idiopathic scoliosis","Scoliosis","1748-7161",1,,13281.00
2016,"OUS","Oslo University Hospital","CSPP-L Associates with the Desmosome of Polarized Epithelial Cells and Is Required for Normal Spheroid Formation","PLoS One","1932-6203",1,,11154.00
2016,"OUS","Oslo University Hospital","Targeting lung cancer through inhibition of checkpoint kinases","Front Genet","1664-8021",1,,8426.00
2016,"OUS","Oslo University Hospital","Syndecan-3 and TFPI colocalize on the surface of endothelial-, smooth muscle-, and cancer cells","PLoS One","1932-6203",1,,14900.00
2016,"OUS","Oslo University Hospital","Tumor expression, plasma levels and genetic polymorphisms of the coagulation inhibitor TFPI are associated with clinicopathological parameters and survival in breast cancer, in contrast to the coagulation initiator TF","Breast Cancer Res","1465-542X",1,,13253.00
2016,"OUS","Oslo University Hospital","Tumor expression, plasma levels and genetic polymorphisms of the coagulation inhibitor TFPI are associated with clinicopathological parameters and survival in breast cancer, in contrast to the coagulation initiator TF","BMJ Open","2044-6055",1,,18176.00
2016,"OUS","Oslo University Hospital","Occipital condyle fracture and lower cranial nerve palsy after blunt head trauma - a literature review and case report","J Trauma Manag Outcomes","1752-2897",1,,14667.00
2016,"OUS","Oslo University Hospital","Soluble T-cell receptors produced in human cells for targeted delivery","PLoS One","1932-6203",1,,10478.00
2016,"OUS","Oslo University Hospital","BayesPI-BAR: a new biophysical model for characterization of regulatory sequence variations","Nucleic Acids Res","1362-4962",2,,19478.00
2016,"OUS","Oslo University Hospital","Comprehensive genome-wide transcription factor analysis reveals that a combination of high affinity and low affinity DNA binding is needed for human gene regulation","BMC Genomics","1471-2164",1,,10639.00
2016,"OUS","Oslo University Hospital","Metabolic Control and Illness Perceptions in Adolescents with Type 1 Diabetes","J Diabetes Res","2314-6753",1,,11193.00
2016,"OUS","Oslo University Hospital","Adolescents with Type 1 Diabetes--The Impact of Gender, Age, and Health-Related Functioning on Eating Disorder Psychopathology","PLoS One","1932-6203",1,,10923.00
2016,"OUS","Oslo University Hospital","Are poor set-shifting abilities associated with a higher frequency of body checking in anorexia nervosa?","J Eat Disord","1098-108X",2,,12482.00
2016,"OUS","Oslo University Hospital","Integrated analysis reveals microRNA networks coordinately expressed with key proteins in breast cancer.","Genome Med","1756-994X",1,,17367.00
2015,"OuS-HF","Oslo University Hospital","Implications of targeted genomic disruption of β-catenin in BxPC-3 pancreatic adenocarcinoma cells","PLoS One","1932-6203",1,"10.1371/journal.pone.0115496",9377.10
2015,"OuS-HF","Oslo University Hospital","Long non-coding RNAs differentially expressed between normal versus primary breast tumor tissues disclose converse changes to breast cancer-related protein-coding genes","PLoS One","1932-6203",1,"10.1371/journal.pone.0106076",8269.83
2015,"OuS-HF","Oslo University Hospital","Quality versus accuracy: result of a reanalysis of protein-binding microarrays from the DREAM5 challenge by using BayesPI2 including dinucleotide interdependence
Clinical investigat","BMC Bioinformatics","1471-2105",2,"10.1186/1471-2105-15-289",13910.60
2015,"OuS-HF","Oslo University Hospital","humeral fractures in the elderly: a randomized study of two surgical treatments: reverse total prosthetic replacement versus angular stable plate","BMC Muscoloskelet Disorder","1471-2474",1,"10.1186/1471-2474-15-323",14388.00
2015,"OuS-HF","Oslo University Hospital","Implementation and use of electronic synoptic cancer reporting: an explorative case study of six Norwegian pathology laboratories","Implement Sci","1748-5908",1,"10.1186/s13012-014-0111-2",14702.24
2015,"OuS-HF","Oslo University Hospital","Generation and characterisation of novel pancreatic adenocarcinoma xenograft models and corresponding primary cell lines","PLoS One","1932-6203",1,"10.1371/journal.pone.0103873",8318.97
